AGE,PLAT,PLONG
250,-54.0,189.4
260,-47.9,184.6
270,-39.1,181.9
280,-30.0,180.5
290,-22.9,179.5
300,-19.5,178.1
310,-20.3,176.5
320,-24.1,174.7
330,-30.7,172.5
340,-38.1,170.5
350,-46.3,168.6
360,-54.3,167.1
370,-61.8,166.8
380,-65.9,169.7
390,-69.9,173.7
400,-72.0,177.1
410,-69.4,175.3
420,-66.7,173.9
430,-60.9,168.8
440,-51.9,161.6
450,-42.6,155.5
460,-35.2,150.1
470,-32.1,144.2
480,-31.7,138.6
490,-33.0,140.0
500,-33.9,145.3
510,-33.0,148.6
520,-26.5,153.2
530,-18.1,159.5
