index,site,strat_pos
0,Z30,4
1,Z31,5
2,Z32,6
3,Z33,7
4,Z34,8
5,Z35,9
6,Z36,11
7,Z37,12
8,Z38,13
9,Z39,14
10,Z40,15
11,Z41,10
12,Z42,16
13,Z43,17
14,Z44,18
15,Z45,19
16,Z46,20
17,Z47,21
18,Z48,22
19,Z49,23
20,Z50,24
21,Z51,25
22,Z52,26
23,Z53,1
24,Z54,2
25,Z55,3
26,Z56,nan
27,Z57,nan
28,Z58,nan
