tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	423	77	K		3	LOW	u	160.8	14.7	l	g	58.0	1.3	3	0
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	849	698	K		3	MAG	u	21.9	158.8	l	g	-76.9	6.2	13	0
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	953	933	K		3	HEM	u	17.4	201.8	l	g	-35.0	7.1	3	0
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	423	77	K		3	LOW	u	160.8	55.6	l	g	18.7	1.3	3	100
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	849	698	K		3	MAG	u	21.9	252.8	l	g	-35.4	6.2	13	100
	This study	Khukh_Davaa	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-19 12:41:43	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	953	933	K		3	HEM	u	17.4	219.5	l	g	-1.4	7.1	3	100
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	423	77	K		3	LOW	u	141.6	317.2	l	g	46.5	7.3	3	0
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	773	K		3	MAG	u	15.7	133.5	l	g	-79.3	10.0	12	0
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	953	933	K		3	HEM	u	12.7	179.6	l	g	-50.1	7.0	3	0
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	423	77	K		3	LOW	u	141.6	33.8	l	g	50.0	7.3	3	100
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	773	K		3	MAG	u	15.7	258.1	l	g	-39.1	10.0	12	100
	This study	Khukh_Davaa	Z30.2	Z30	Z30.2a	Z30.2a:LP-DIR-T	hargrave 2015-02-19 12:43:21	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	953	933	K		3	HEM	u	12.7	223.9	l	g	-23.1	7.0	3	100
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	423	77	K		3	LOW	u	148.8	335.9	l	g	79.1	1.0	3	0
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	723	K		3	MAG	u	6.7	51.5	l	g	-66.7	3.6	14	0
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	953	933	K		3	HEM	u	5.2	81.9	l	g	-81.0	4.1	3	0
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	423	77	K		3	LOW	u	148.8	75.5	l	g	35.5	1.0	3	100
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	723	K		3	MAG	u	6.7	289.1	l	g	-49.1	3.6	14	100
	This study	Khukh_Davaa	Z30.3	Z30	Z30.3a	Z30.3a:LP-DIR-T	hargrave 2015-02-19 12:44:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	953	933	K		3	HEM	u	5.2	269.3	l	g	-41.0	4.1	3	100
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	423	77	K		3	LOW	u	161.3	314.4	l	g	73.8	3.8	3	0
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	723	K		3	MAG	u	3.2	75.8	l	g	-76.4	7.3	14	0
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	953	933	K		3	HEM	u	3.7	101.2	l	g	-72.8	1.8	3	0
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	423	77	K		3	LOW	u	161.3	72.2	l	g	42.2	3.8	3	100
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	723	K		3	MAG	u	3.2	272.0	l	g	-45.3	7.3	14	100
	This study	Khukh_Davaa	Z30.4	Z30	Z30.4a	Z30.4a:LP-DIR-T	hargrave 2015-02-19 12:46:25	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	953	933	K		3	HEM	u	3.7	262.1	l	g	-48.7	1.8	3	100
	This study	Khukh_Davaa	Z30.5	Z30	Z30.5a	Z30.5a:LP-DIR-T	hargrave 2015-02-19 12:47:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	423	77	K		3	LOW	u	137.8	9.0	l	g	67.9	0.7	3	0
