tab	er_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_citation_names	specimen_class	specimen_lithology	specimen_type	specimen_volume	specimen_weight
Z30.1a	Z30.1	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.2a	Z30.2	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.3a	Z30.3	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.4a	Z30.4	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.5a	Z30.5	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.6a	Z30.6	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z30.8a	Z30.8	Z30	Khukh_Davaa	This study	Extrusive	Rhyolite	Lava Flow		1.000e-03
Z31.1a	Z31.1	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.2a	Z31.2	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.3a	Z31.3	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.4a	Z31.4	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.5a	Z31.5	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.6a	Z31.6	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.7a	Z31.7	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z31.8a	Z31.8	Z31	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.1a	Z32.1	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.2a	Z32.2	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.3a	Z32.3	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.4a	Z32.4	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.5a	Z32.5	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.6a	Z32.6	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
