tab	er_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_citation_names	specimen_class	specimen_lithology	specimen_type	specimen_volume	specimen_weight
Z32.7a	Z32.7	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.8a	Z32.8	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z32.9a	Z32.9	Z32	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.1a	Z33.1	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.2a	Z33.2	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.3a	Z33.3	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.4a	Z33.4	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.5a	Z33.5	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.6a	Z33.6	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.7a	Z33.7	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z33.8a	Z33.8	Z33	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.10a	Z34.10	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.1a	Z34.1	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.2a	Z34.2	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.3a	Z34.3	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.4a	Z34.4	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.5a	Z34.5	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.6a	Z34.6	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.7a	Z34.7	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.8a	Z34.8	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z34.9a	Z34.9	Z34	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.1a	Z35.1	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.2a	Z35.2	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.3a	Z35.3	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.4a	Z35.4	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.5a	Z35.5	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.6a	Z35.6	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z35.7a	Z35.7	Z35	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.1a	Z36.1	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.2a	Z36.2	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.3a	Z36.3	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.4a	Z36.4	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.5a	Z36.5	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.6a	Z36.6	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.7a	Z36.7	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z36.8a	Z36.8	Z36	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.1a	Z37.1	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.2a	Z37.2	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.3a	Z37.3	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.4a	Z37.4	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.5a	Z37.5	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.6a	Z37.6	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.7a	Z37.7	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.8a	Z37.8	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z37.9a	Z37.9	Z37	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.10a	Z38.10	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.1a	Z38.1	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.2a	Z38.2	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.3a	Z38.3	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.4a	Z38.4	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.5a	Z38.5	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.6a	Z38.6	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.7a	Z38.7	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.8a	Z38.8	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z38.9a	Z38.9	Z38	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.1a	Z39.1	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.2a	Z39.2	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.3a	Z39.3	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.4a	Z39.4	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.5a	Z39.5	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z39.6a	Z39.6	Z39	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.1a	Z40.1	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.2a	Z40.2	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.3a	Z40.3	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.4a	Z40.4	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.5a	Z40.5	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.6a	Z40.6	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.7a	Z40.7	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.8a	Z40.8	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z40.9a	Z40.9	Z40	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.1a	Z41.1	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.2a	Z41.2	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.3a	Z41.3	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.4a	Z41.4	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.5a	Z41.5	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.6a	Z41.6	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.7a	Z41.7	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z41.8a	Z41.8	Z41	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.1a	Z42.1	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.2a	Z42.2	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.3a	Z42.3	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.4a	Z42.4	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.5a	Z42.5	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.6a	Z42.6	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.7a	Z42.7	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z42.8a	Z42.8	Z42	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.1a	Z43.1	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.2a	Z43.2	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.3a	Z43.3	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.4a	Z43.4	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.5a	Z43.5	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.6a	Z43.6	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.7a	Z43.7	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z43.8a	Z43.8	Z43	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.1a	Z44.1	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.2a	Z44.2	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.3a	Z44.3	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.4a	Z44.4	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.5a	Z44.5	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.6a	Z44.6	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z44.7a	Z44.7	Z44	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.1a	Z45.1	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.2a	Z45.2	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.3a	Z45.3	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.4a	Z45.4	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.5a	Z45.5	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.6a	Z45.6	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.7a	Z45.7	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z45.8a	Z45.8	Z45	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.1a	Z46.1	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.2a	Z46.2	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.3a	Z46.3	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.4a	Z46.4	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.5a	Z46.5	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.6a	Z46.6	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.7a	Z46.7	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z46.8a	Z46.8	Z46	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.1a	Z47.1	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.2a	Z47.2	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.3a	Z47.3	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.4a	Z47.4	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.5a	Z47.5	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.6a	Z47.6	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.7a	Z47.7	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z47.8a	Z47.8	Z47	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.1a	Z48.1	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.2a	Z48.2	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.3a	Z48.3	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.4a	Z48.4	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.5a	Z48.5	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.6a	Z48.6	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.7a	Z48.7	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z48.8a	Z48.8	Z48	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.1a	Z49.1	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.2a	Z49.2	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.3a	Z49.3	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.4a	Z49.4	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.5a	Z49.5	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.6a	Z49.6	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z49.7a	Z49.7	Z49	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.1a	Z50.1	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.2a	Z50.2	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.3a	Z50.3	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.4a	Z50.4	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.5a	Z50.5	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.6a	Z50.6	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.7a	Z50.7	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z50.8a	Z50.8	Z50	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.1a	Z51.1	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.2a	Z51.2	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.3a	Z51.3	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.4a	Z51.4	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.5a	Z51.5	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.6a	Z51.6	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z51.8a	Z51.8	Z51	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.1a	Z52.1	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.2a	Z52.2	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.5a	Z52.5	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.6a	Z52.6	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.7a	Z52.7	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z52.8a	Z52.8	Z52	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.1a	Z53.1	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.2a	Z53.2	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.3a	Z53.3	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.4a	Z53.4	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.5a	Z53.5	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.6a	Z53.6	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.7a	Z53.7	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z53.8a	Z53.8	Z53	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.1a	Z54.1	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.2a	Z54.2	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.3a	Z54.3	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.4a	Z54.4	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.5a	Z54.5	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.6a	Z54.6	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.7a	Z54.7	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z54.8a	Z54.8	Z54	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.1a	Z55.1	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.2a	Z55.2	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.3a	Z55.3	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.4a	Z55.4	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.5a	Z55.5	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.6a	Z55.6	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.7a	Z55.7	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z55.8a	Z55.8	Z55	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.1a	Z56.1	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.2a	Z56.2	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.3a	Z56.3	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.4a	Z56.4	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.5a	Z56.5	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z56.6a	Z56.6	Z56	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.1a	Z57.1	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.2a	Z57.2	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.3a	Z57.3	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.4a	Z57.4	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.5a	Z57.5	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z57.6a	Z57.6	Z57	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.1a	Z58.1	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.2a	Z58.2	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.3a	Z58.3	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.4a	Z58.4	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.5a	Z58.5	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
Z58.6a	Z58.6	Z58	Khukh_Davaa	This study	Extrusive	Basalt	Lava Flow		1.000e-03
