tab 	pmag_results
average_age	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
446	Ma	8.0	234.1	-32.9	42	47.1009	95.3768	9	9	0	8.8113	i		This study	Khukh_Davaa	Z32	Z32.1a:Z32.2a:Z32.3a:Z32.4a:Z32.5a:Z32.6a:Z32.7a:Z32.8a:Z32.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z32	MAG	Site VGP, coord system = 100 component: MID	100	6.5	10.4	-37.2	19.9	9
446	Ma	6.0	0.9	64.4	86	47.1011	95.3770	8	8	0	7.9187	i		This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z33	LOW	Site VGP, coord system = 100 component: MID	0	9.5	7.8	88.9	240.0	8
446	Ma	4.6	184.6	-78.6	147	47.1011	95.3770	8	8	0	7.9525	i		This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z33	MAG	Site VGP, coord system = 100 component: MID	0	15.8	6.0	-68.9	280.2	8
446	Ma	6.0	54.8	28.3	86	47.1011	95.3770	8	8	0	7.9185	i		This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z33	LOW	Site VGP, coord system = 100 component: MID	100	4.6	7.8	34.7	201.7	8
446	Ma	4.6	250.7	-32.2	147	47.1011	95.3770	8	8	0	7.9524	i		This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z33	MAG	Site VGP, coord system = 100 component: MID	100	3.7	6.0	-25.8	7.1	8
446	Ma	3.9	0.6	62.4	157	47.1011	95.3771	10	10	0	9.9427	i		This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z34	LOW	Site VGP, coord system = 100 component: MID	0	5.7	5.1	86.6	268.1	10
446	Ma	2.8	165.7	-76.2	289	47.1011	95.3771	10	10	0	9.9688	i		This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z34	MAG	Site VGP, coord system = 100 component: MID	0	8.0	3.7	-71.5	255.3	10
446	Ma	3.9	52.7	27.7	157	47.1011	95.3771	10	10	0	9.9427	i		This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z34	LOW	Site VGP, coord system = 100 component: MID	100	3.0	5.1	35.8	203.8	10
446	Ma	2.8	247.1	-35.8	289	47.1011	95.3771	10	10	0	9.9689	i		This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z34	MAG	Site VGP, coord system = 100 component: MID	100	2.3	3.7	-29.8	7.8	10
446	Ma	5.1	10.1	60.3	175	47.1007	95.3775	6	6	0	5.9714	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	LOW	Site VGP, coord system = 100 component: MID	0	7.0	6.7	80.7	220.7	6
