tab	er_samples
er_sample_name	er_site_name	er_location_name	er_citation_names	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_dip	sample_height	sample_lat	sample_lithology	sample_lon	sample_type
Z34.3	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	83.5	55	84.0	Extrusive	-15	133.9	47.10111	Basalt	95.37712	Lava Flow
Z34.4	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	267.5	55	84.0	Extrusive	-39	133	47.10111	Basalt	95.37712	Lava Flow
Z34.5	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	311.5	55	84.0	Extrusive	-37	133.2	47.10111	Basalt	95.37712	Lava Flow
Z34.6	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	285.5	55	84.0	Extrusive	-34	133.4	47.10111	Basalt	95.37712	Lava Flow
Z34.7	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	327.5	55	84.0	Extrusive	-29	133.6	47.10111	Basalt	95.37712	Lava Flow
Z34.8	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	102.5	55	84.0	Extrusive	-27	133.6	47.10111	Basalt	95.37712	Lava Flow
Z34.9	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	278.5	55	84.0	Extrusive	-20	133.3	47.10111	Basalt	95.37712	Lava Flow
Z35.1	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	23.5	55	84.0	Extrusive	-83	148.16	47.10069	Basalt	95.37747	Lava Flow
Z35.2	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	79.5	55	84.0	Extrusive	-37	148.22	47.10069	Basalt	95.37747	Lava Flow
Z35.3	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	41.5	55	84.0	Extrusive	-31	148.32	47.10069	Basalt	95.37747	Lava Flow
Z35.4	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	56.5	55	84.0	Extrusive	-50	248.23	47.10069	Basalt	95.37747	Lava Flow
Z35.5	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	5.5	55	84.0	Extrusive	-82	148.25	47.10069	Basalt	95.37747	Lava Flow
Z35.6	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	2.5	55	84.0	Extrusive	-20	148.26	47.10069	Basalt	95.37747	Lava Flow
Z35.7	Z35	Khukh_Davaa	This study	SO-CMD-NORTH	14.5	55	84.0	Extrusive	-22	148.35	47.10069	Basalt	95.37747	Lava Flow
Z36.1	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	75.5	47	89.0	Extrusive	-60	265.2	47.10221	Basalt	95.37959	Lava Flow
Z36.2	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	62.5	47	89.0	Extrusive	-41	265.4	47.10221	Basalt	95.37959	Lava Flow
Z36.3	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	92.5	47	89.0	Extrusive	-59	265.8	47.10221	Basalt	95.37959	Lava Flow
Z36.4	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	61.5	47	89.0	Extrusive	-60	265.4	47.10221	Basalt	95.37959	Lava Flow
Z36.5	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	60.5	47	89.0	Extrusive	-22	265.5	47.10221	Basalt	95.37959	Lava Flow
Z36.6	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	79.5	47	89.0	Extrusive	-38	265.5	47.10221	Basalt	95.37959	Lava Flow
Z36.7	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	55.5	47	89.0	Extrusive	-54	265.8	47.10221	Basalt	95.37959	Lava Flow
Z36.8	Z36	Khukh_Davaa	This study	SO-CMD-NORTH	95.5	47	89.0	Extrusive	-36	266	47.10221	Basalt	95.37959	Lava Flow
Z37.1	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	117.5	47	89.0	Extrusive	-41	276.4	47.10211	Basalt	95.37971	Lava Flow
Z37.2	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	52.5	47	89.0	Extrusive	-30	276.4	47.10211	Basalt	95.37971	Lava Flow
Z37.3	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	92.5	47	89.0	Extrusive	-53	276.2	47.10211	Basalt	95.37971	Lava Flow
Z37.4	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	95.5	47	89.0	Extrusive	-50	276.4	47.10211	Basalt	95.37971	Lava Flow
Z37.5	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	110.5	47	89.0	Extrusive	-51	276.3	47.10211	Basalt	95.37971	Lava Flow
Z37.6	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	88.5	47	89.0	Extrusive	-61	276.6	47.10211	Basalt	95.37971	Lava Flow
Z37.7	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	139.5	47	89.0	Extrusive	-60	276.3	47.10211	Basalt	95.37971	Lava Flow
Z37.8	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	67.5	47	89.0	Extrusive	-38	276	47.10211	Basalt	95.37971	Lava Flow
Z37.9	Z37	Khukh_Davaa	This study	SO-CMD-NORTH	105.5	47	89.0	Extrusive	-49	277	47.10211	Basalt	95.37971	Lava Flow
Z38.1	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	71.5	46	87.0	Extrusive	-44	517.9	47.09855	Basalt	95.38445	Lava Flow
Z38.10	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	36.5	46	87.0	Extrusive	-36	517.8	47.09855	Basalt	95.38445	Lava Flow
Z38.2	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	127.5	46	87.0	Extrusive	-50	517.8	47.09855	Basalt	95.38445	Lava Flow
Z38.3	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	35.5	46	87.0	Extrusive	-60	517.9	47.09855	Basalt	95.38445	Lava Flow
Z38.4	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	34.5	46	87.0	Extrusive	-36	518	47.09855	Basalt	95.38445	Lava Flow
Z38.5	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	54.5	46	87.0	Extrusive	-44	517.8	47.09855	Basalt	95.38445	Lava Flow
Z38.6	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	50.5	46	87.0	Extrusive	-31	317.7	47.09855	Basalt	95.38445	Lava Flow
Z38.7	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	3.5	46	87.0	Extrusive	-59	517.7	47.09855	Basalt	95.38445	Lava Flow
Z38.8	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	354.5	46	87.0	Extrusive	-23	517.8	47.09855	Basalt	95.38445	Lava Flow
Z38.9	Z38	Khukh_Davaa	This study	SO-CMD-NORTH	82.5	46	87.0	Extrusive	-56	517.9	47.09855	Basalt	95.38445	Lava Flow
Z39.1	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	30.5	46	87.0	Extrusive	-36	531	47.09860	Basalt	95.38467	Lava Flow
Z39.2	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	18.5	46	87.0	Extrusive	-28	531	47.09860	Basalt	95.38467	Lava Flow
Z39.3	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	31.5	46	87.0	Extrusive	-23	531	47.09860	Basalt	95.38467	Lava Flow
Z39.4	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	31.5	46	87.0	Extrusive	-24	531	47.09860	Basalt	95.38467	Lava Flow
Z39.5	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	20.5	46	87.0	Extrusive	-25	531	47.09860	Basalt	95.38467	Lava Flow
Z39.6	Z39	Khukh_Davaa	This study	SO-CMD-NORTH	25.5	46	87.0	Extrusive	-26	531	47.09860	Basalt	95.38467	Lava Flow
Z40.1	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	1.5	46	87.0	Extrusive	-36	534.2	47.09859	Basalt	95.38474	Lava Flow
Z40.2	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	10.5	46	87.0	Extrusive	-31	533.2	47.09859	Basalt	95.38474	Lava Flow
Z40.3	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	68.5	46	87.0	Extrusive	-60	533.2	47.09859	Basalt	95.38474	Lava Flow
Z40.4	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	64.5	46	87.0	Extrusive	-51	533.2	47.09859	Basalt	95.38474	Lava Flow
Z40.5	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	85.5	46	87.0	Extrusive	-21	533	47.09859	Basalt	95.38474	Lava Flow
Z40.6	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	94.5	46	87.0	Extrusive	-16	533	47.09859	Basalt	95.38474	Lava Flow
Z40.7	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	104.5	46	87.0	Extrusive	-18	533	47.09859	Basalt	95.38474	Lava Flow
Z40.8	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	10.5	46	87.0	Extrusive	-51	534.5	47.09859	Basalt	95.38474	Lava Flow
Z40.9	Z40	Khukh_Davaa	This study	SO-CMD-NORTH	5.5	46	87.0	Extrusive	-48	534.5	47.09859	Basalt	95.38474	Lava Flow
Z41.1	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	55.5	55	84.0	Extrusive	-45	153.1	47.10109	Basalt	95.37744	Lava Flow
Z41.2	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	107.5	55	84.0	Extrusive	-35	152.2	47.10109	Basalt	95.37744	Lava Flow
Z41.3	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	134.5	55	84.0	Extrusive	-27	152.8	47.10109	Basalt	95.37744	Lava Flow
Z41.4	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	21.5	55	84.0	Extrusive	-37	151.4	47.10109	Basalt	95.37744	Lava Flow
Z41.5	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	295.5	55	84.0	Extrusive	-33	153	47.10109	Basalt	95.37744	Lava Flow
Z41.6	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	305.5	55	84.0	Extrusive	-36	153	47.10109	Basalt	95.37744	Lava Flow
Z41.7	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	298.5	55	84.0	Extrusive	-17	153.1	47.10109	Basalt	95.37744	Lava Flow
Z41.8	Z41	Khukh_Davaa	This study	SO-CMD-NORTH	308.5	55	84.0	Extrusive	-16	153.1	47.10109	Basalt	95.37744	Lava Flow
Z42.1	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	24.5	37	87.0	Extrusive	-21	594.5	47.09577	Basalt	95.38577	Lava Flow
Z42.2	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	346.5	37	87.0	Extrusive	-23	595.1	47.09577	Basalt	95.38577	Lava Flow
Z42.3	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	68.5	37	87.0	Extrusive	-29	594.9	47.09577	Basalt	95.38577	Lava Flow
Z42.4	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	14.5	37	87.0	Extrusive	-25	595.7	47.09577	Basalt	95.38577	Lava Flow
Z42.5	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	20.5	37	87.0	Extrusive	-28	596.1	47.09577	Basalt	95.38577	Lava Flow
Z42.6	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	337.5	37	87.0	Extrusive	-15	596.2	47.09577	Basalt	95.38577	Lava Flow
Z42.7	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	357.5	37	87.0	Extrusive	-20	596.3	47.09577	Basalt	95.38577	Lava Flow
Z42.8	Z42	Khukh_Davaa	This study	SO-CMD-NORTH	49.5	37	87.0	Extrusive	-51	594.9	47.09577	Basalt	95.38577	Lava Flow
Z43.1	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	128.5	37	87.0	Extrusive	-41	622.9	47.09570	Basalt	95.38638	Lava Flow
Z43.2	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	81.5	37	87.0	Extrusive	-76	623.2	47.09570	Basalt	95.38638	Lava Flow
Z43.3	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	89.5	37	87.0	Extrusive	-45	623.3	47.09570	Basalt	95.38638	Lava Flow
Z43.4	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	104.5	37	87.0	Extrusive	-65	622.9	47.09570	Basalt	95.38638	Lava Flow
Z43.5	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	259.5	37	87.0	Extrusive	-18	622.9	47.09570	Basalt	95.38638	Lava Flow
Z43.6	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	68.5	37	87.0	Extrusive	-52	622.7	47.09570	Basalt	95.38638	Lava Flow
Z43.7	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	95.5	37	87.0	Extrusive	-51	623.4	47.09570	Basalt	95.38638	Lava Flow
Z43.8	Z43	Khukh_Davaa	This study	SO-CMD-NORTH	98.5	37	87.0	Extrusive	-48	623.5	47.09570	Basalt	95.38638	Lava Flow
Z44.1	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	82.5	37	87.0	Extrusive	-48	623.8	47.09571	Basalt	95.38651	Lava Flow
Z44.2	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	358.5	37	87.0	Extrusive	-25	623.8	47.09571	Basalt	95.38651	Lava Flow
Z44.3	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	70.5	37	87.0	Extrusive	-50	624	47.09571	Basalt	95.38651	Lava Flow
Z44.4	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	100.5	37	87.0	Extrusive	-56	623.7	47.09571	Basalt	95.38651	Lava Flow
Z44.5	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	136.5	37	87.0	Extrusive	-70	623.7	47.09571	Basalt	95.38651	Lava Flow
Z44.6	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	140.5	37	87.0	Extrusive	-62	623.9	47.09571	Basalt	95.38651	Lava Flow
Z44.7	Z44	Khukh_Davaa	This study	SO-CMD-NORTH	54.5	37	87.0	Extrusive	-72	624.1	47.09571	Basalt	95.38651	Lava Flow
Z45.1	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	25.5	37	87.0	Extrusive	-40	648.3	47.09562	Basalt	95.38676	Lava Flow
Z45.2	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	355.5	37	87.0	Extrusive	-13	648.5	47.09562	Basalt	95.38676	Lava Flow
Z45.3	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	84.5	37	87.0	Extrusive	-62	649.4	47.09562	Basalt	95.38676	Lava Flow
Z45.4	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	92.5	37	87.0	Extrusive	-75	649.3	47.09562	Basalt	95.38676	Lava Flow
Z45.5	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	63.5	37	87.0	Extrusive	-66	649.5	47.09562	Basalt	95.38676	Lava Flow
Z45.6	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	89.5	37	87.0	Extrusive	-22	648.6	47.09562	Basalt	95.38676	Lava Flow
Z45.7	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	59.5	37	87.0	Extrusive	-30	648.6	47.09562	Basalt	95.38676	Lava Flow
Z45.8	Z45	Khukh_Davaa	This study	SO-CMD-NORTH	11.5	37	87.0	Extrusive	-73	648.9	47.09562	Basalt	95.38676	Lava Flow
Z46.1	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	28.5	37	87.0	Extrusive	-19	670.5	47.09563	Basalt	95.38692	Lava Flow
Z46.2	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	75.5	37	87.0	Extrusive	-73	671.9	47.09563	Basalt	95.38692	Lava Flow
Z46.3	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	98.5	37	87.0	Extrusive	-12	672	47.09563	Basalt	95.38692	Lava Flow
Z46.4	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	40.5	37	87.0	Extrusive	-13	672.2	47.09563	Basalt	95.38692	Lava Flow
Z46.5	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	63.5	37	87.0	Extrusive	-5	672.4	47.09563	Basalt	95.38692	Lava Flow
Z46.6	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	62.5	37	87.0	Extrusive	-29	673	47.09563	Basalt	95.38692	Lava Flow
Z46.7	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	83.5	37	87.0	Extrusive	-26	674.1	47.09563	Basalt	95.38692	Lava Flow
Z46.8	Z46	Khukh_Davaa	This study	SO-CMD-NORTH	47.5	37	87.0	Extrusive	-38	673.8	47.09563	Basalt	95.38692	Lava Flow
Z47.1	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	31.5	37	87.0	Extrusive	-31	682.7	47.09568	Basalt	95.38727	Lava Flow
Z47.2	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	43.5	37	87.0	Extrusive	-33	682.6	47.09568	Basalt	95.38727	Lava Flow
Z47.3	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	41.5	37	87.0	Extrusive	-33	682.9	47.09568	Basalt	95.38727	Lava Flow
Z47.4	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	39.5	37	87.0	Extrusive	-73	683.2	47.09568	Basalt	95.38727	Lava Flow
Z47.5	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	64.5	37	87.0	Extrusive	-42	683.3	47.09568	Basalt	95.38727	Lava Flow
Z47.6	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	57.5	37	87.0	Extrusive	-36	683.6	47.09568	Basalt	95.38727	Lava Flow
Z47.7	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	53.5	37	87.0	Extrusive	-65	683.8	47.09568	Basalt	95.38727	Lava Flow
Z47.8	Z47	Khukh_Davaa	This study	SO-CMD-NORTH	15.5	37	87.0	Extrusive	-30	684.6	47.09568	Basalt	95.38727	Lava Flow
Z48.1	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	50.5	28	91.0	Extrusive	-22	693.5	47.09570	Basalt	95.38744	Lava Flow
Z48.2	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	8.5	28	91.0	Extrusive	-23	693.6	47.09570	Basalt	95.38744	Lava Flow
Z48.3	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	17.5	28	91.0	Extrusive	-14	693.9	47.09570	Basalt	95.38744	Lava Flow
Z48.4	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	5.5	28	91.0	Extrusive	-21	693.7	47.09570	Basalt	95.38744	Lava Flow
Z48.5	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	346.5	28	91.0	Extrusive	-18	693.9	47.09570	Basalt	95.38744	Lava Flow
Z48.6	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	35.5	28	91.0	Extrusive	-50	694.3	47.09570	Basalt	95.38744	Lava Flow
Z48.7	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	24.5	28	91.0	Extrusive	-38	695.4	47.09570	Basalt	95.38744	Lava Flow
Z48.8	Z48	Khukh_Davaa	This study	SO-CMD-NORTH	78.5	28	91.0	Extrusive	-36	695.3	47.09570	Basalt	95.38744	Lava Flow
Z49.1	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	175.5	28	91.0	Extrusive	-8	708.1	47.09581	Basalt	95.38747	Lava Flow
Z49.2	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	44.5	28	91.0	Extrusive	-37	707.9	47.09581	Basalt	95.38747	Lava Flow
Z49.3	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	346.5	28	91.0	Extrusive	-19	707.1	47.09581	Basalt	95.38747	Lava Flow
Z49.4	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	353.5	28	91.0	Extrusive	-64	707.4	47.09581	Basalt	95.38747	Lava Flow
Z49.5	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	66.5	28	91.0	Extrusive	-63	707	47.09581	Basalt	95.38747	Lava Flow
Z49.6	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	184.5	28	91.0	Extrusive	-7	707.7	47.09581	Basalt	95.38747	Lava Flow
Z49.7	Z49	Khukh_Davaa	This study	SO-CMD-NORTH	243.5	28	91.0	Extrusive	-15	708.6	47.09581	Basalt	95.38747	Lava Flow
Z50.1	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	85.5	28	91.0	Extrusive	-51	720.9	47.09575	Basalt	95.38781	Lava Flow
Z50.2	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	58.5	28	91.0	Extrusive	-52	721.1	47.09575	Basalt	95.38781	Lava Flow
Z50.3	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	58.5	28	91.0	Extrusive	-54	721.1	47.09575	Basalt	95.38781	Lava Flow
Z50.4	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	60.5	28	91.0	Extrusive	-30	721.7	47.09575	Basalt	95.38781	Lava Flow
Z50.5	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	45.5	28	91.0	Extrusive	-36	722.3	47.09575	Basalt	95.38781	Lava Flow
Z50.6	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	48.5	28	91.0	Extrusive	-25	721.2	47.09575	Basalt	95.38781	Lava Flow
Z50.7	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	73.5	28	91.0	Extrusive	-58	720.9	47.09575	Basalt	95.38781	Lava Flow
Z50.8	Z50	Khukh_Davaa	This study	SO-CMD-NORTH	85.5	28	91.0	Extrusive	-59	720.9	47.09575	Basalt	95.38781	Lava Flow
Z51.1	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	91.5	28	91.0	Extrusive	-33	733.5	47.09584	Basalt	95.38802	Lava Flow
Z51.2	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	80.5	28	91.0	Extrusive	-52	733.7	47.09584	Basalt	95.38802	Lava Flow
Z51.3	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	67.5	28	91.0	Extrusive	-60	733.8	47.09584	Basalt	95.38802	Lava Flow
