tab	er_samples
er_sample_name	er_site_name	er_location_name	er_citation_names	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_dip	sample_height	sample_lat	sample_lithology	sample_lon	sample_type
Z30.1	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	41.5	58	88.0	Extrusive	-63	34.6	47.10038	Rhyolite	95.3755	Lava Flow
Z30.2	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	158.5	58	88.0	Extrusive	-21	35	47.10038	Rhyolite	95.3755	Lava Flow
Z30.3	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	250.5	58	88.0	Extrusive	-26	36.1	47.10038	Rhyolite	95.3755	Lava Flow
Z30.4	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	311.5	58	88.0	Extrusive	-50	36.2	47.10038	Rhyolite	95.3755	Lava Flow
Z30.5	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	313.5	58	88.0	Extrusive	-46	36.4	47.10038	Rhyolite	95.3755	Lava Flow
Z30.6	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	315.5	58	88.0	Extrusive	-39	36.5	47.10038	Rhyolite	95.3755	Lava Flow
Z30.8	Z30	Khukh_Davaa	This study	SO-CMD-NORTH	11.5	58	88.0	Extrusive	-20	39.6	47.10038	Rhyolite	95.3755	Lava Flow
Z31.1	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	277.5	58	88.0	Extrusive	-48	65.6	47.10049	Basalt	95.37604	Lava Flow
Z31.2	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	328.5	58	88.0	Extrusive	-49	65.7	47.10049	Basalt	95.37604	Lava Flow
Z31.3	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	281.5	58	88.0	Extrusive	-27	65.9	47.10049	Basalt	95.37604	Lava Flow
Z31.4	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	329.5	58	88.0	Extrusive	-46	66.6	47.10049	Basalt	95.37604	Lava Flow
Z31.5	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	325.5	58	88.0	Extrusive	-56	66.7	47.10049	Basalt	95.37604	Lava Flow
Z31.6	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	49.5	58	88.0	Extrusive	-26	67.6	47.10049	Basalt	95.37604	Lava Flow
Z31.7	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	261.5	58	88.0	Extrusive	-30	68.4	47.10049	Basalt	95.37604	Lava Flow
Z31.8	Z31	Khukh_Davaa	This study	SO-CMD-NORTH	52.5	58	88.0	Extrusive	-24	69.4	47.10049	Basalt	95.37604	Lava Flow
Z32.1	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	292.5	55	84.0	Extrusive	-14	114.6	47.10094	Basalt	95.37684	Lava Flow
Z32.2	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	289.5	55	84.0	Extrusive	-32	114.9	47.10094	Basalt	95.37684	Lava Flow
Z32.3	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	295.5	55	84.0	Extrusive	-30	114.9	47.10094	Basalt	95.37684	Lava Flow
Z32.4	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	293.5	55	84.0	Extrusive	-16	115	47.10094	Basalt	95.37684	Lava Flow
Z32.5	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	240.5	55	84.0	Extrusive	-25	115	47.10094	Basalt	95.37684	Lava Flow
Z32.6	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	286.5	55	84.0	Extrusive	-36	114.7	47.10094	Basalt	95.37684	Lava Flow
Z32.7	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	243.5	55	84.0	Extrusive	-20	114.7	47.10094	Basalt	95.37684	Lava Flow
Z32.8	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	279.5	55	84.0	Extrusive	-41	115.1	47.10094	Basalt	95.37684	Lava Flow
Z32.9	Z32	Khukh_Davaa	This study	SO-CMD-NORTH	312.5	55	84.0	Extrusive	-38	115.3	47.10094	Basalt	95.37684	Lava Flow
Z33.1	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	272.5	55	84.0	Extrusive	-36	127.7	47.10107	Basalt	95.37705	Lava Flow
Z33.2	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	277.5	55	84.0	Extrusive	-40	127.9	47.10107	Basalt	95.37705	Lava Flow
Z33.3	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	293.5	55	84.0	Extrusive	-36	128	47.10107	Basalt	95.37705	Lava Flow
Z33.4	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	274.5	55	84.0	Extrusive	-40	127.6	47.10107	Basalt	95.37705	Lava Flow
Z33.5	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	293.5	55	84.0	Extrusive	-23	127.6	47.10107	Basalt	95.37705	Lava Flow
Z33.6	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	305.5	55	84.0	Extrusive	-45	127.5	47.10107	Basalt	95.37705	Lava Flow
Z33.7	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	307.5	55	84.0	Extrusive	-32	127.2	47.10107	Basalt	95.37705	Lava Flow
Z33.8	Z33	Khukh_Davaa	This study	SO-CMD-NORTH	217.5	55	84.0	Extrusive	-17	128.4	47.10107	Basalt	95.37705	Lava Flow
Z34.1	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	273.5	55	84.0	Extrusive	-25	133.2	47.10111	Basalt	95.37712	Lava Flow
Z34.10	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	262.5	55	84.0	Extrusive	-32	133.3	47.10111	Basalt	95.37712	Lava Flow
Z34.2	Z34	Khukh_Davaa	This study	SO-CMD-NORTH	294.5	55	84.0	Extrusive	-14	133.2	47.10111	Basalt	95.37712	Lava Flow
