tab 	pmag_sites																					
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	4.6	MAG	184.6	Site direction included in results table	-78.6	9.98E+02	9.98E+02	Years Cal BP	147	8	8	0		7.9525	0
	This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	6	LOW	54.8	Site direction included in results table	28.3	9.98E+02	9.98E+02	Years Cal BP	86	8	8	0		7.9185	100
	This study	Khukh_Davaa	Z33	Z33.1a:Z33.2a:Z33.3a:Z33.4a:Z33.5a:Z33.6a:Z33.7a:Z33.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	4.6	MAG	250.7	Site direction included in results table	-32.2	9.98E+02	9.98E+02	Years Cal BP	147	8	8	0		7.9524	100
	This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	3.9	LOW	0.6	Site direction included in results table	62.4	9.98E+02	9.98E+02	Years Cal BP	157	10	10	0		9.9427	0
	This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	2.8	MAG	165.7	Site direction included in results table	-76.2	9.98E+02	9.98E+02	Years Cal BP	289	10	10	0		9.9688	0
	This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	3.9	LOW	52.7	Site direction included in results table	27.7	9.98E+02	9.98E+02	Years Cal BP	157	10	10	0		9.9427	100
	This study	Khukh_Davaa	Z34	Z34.10a:Z34.1a:Z34.2a:Z34.3a:Z34.4a:Z34.5a:Z34.6a:Z34.7a:Z34.8a:Z34.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	2.8	MAG	247.1	Site direction included in results table	-35.8	9.98E+02	9.98E+02	Years Cal BP	289	10	10	0		9.9689	100
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.3a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	11	LOW	19.4	Site direction included in results table	58.8	9.98E+02	9.98E+02	Years Cal BP	31	7	7	0		6.8056	0
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	6.4	MAG	180	Site direction included in results table	-56.1	9.98E+02	9.98E+02	Years Cal BP	111	6	6	0		5.9549	0
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	5.7	HEM	185.4	Site direction included in results table	-5.6	9.98E+02	9.98E+02	Years Cal BP	137	6	6	0		5.9635	0
