terrane,high_age,low_age,median_age,A95,PLat,PLon,Reference
Zavkhan_Baidrag,105,92,98.5,3.9,81.1,165.7,van Hinsbergen et al. (2008)
Zavkhan_Baidrag,146,65,105.5,21.4,86.9,252.8,"GPDB2443, Pruner (1992)"
Zavkhan_Baidrag,124,92,108,2.5,80.8,158.4,van Hinsbergen et al. (2008)
Zavkhan_Baidrag,119,115,117,4.9,75.6,132.3,van Hinsbergen et al. (2008)
?,130,110,120,5.2,70.8,322.4,Cogne et al. (2005)
?,145,97,121,4.2,58.3,51,Halim et al. (1998)
Zavkhan_Baidrag,125,118,121.5,4.3,82,172.3,van Hinsbergen et al. (2008)
?,133,125,129,7.4,86.8,61.8,Cogne et al. (2005)
?,161,145,153,3.1,58.9,327.3,Cogne et al. (2005)
?,176,145,160.5,4.2,59.6,279,Kravchinsky et al. (2002)
?,245,208,226.5,16.8,32,32.7,"GPDB2443, Pruner (1992)"
southern_terranes,260,228,244,8,50,201,Edel et al. (2014)
Zavkhan_Baidrag,260,240,250,11,55,131.3,Kovalenko (2010)
?,271,260,265.5,14.4,63.1,151,Kravchinsky et al. (2002)
?,290,256,273,11.6,44.8,335.1,"GPDB2443, Pruner (1992)"
southern_terranes,310,245,277.5,8,46,273,Edel et al. (2014)
southern_terranes,300,280,290,7.8,71,188,Kovalenko (2010)
Zavkhan_Baidrag,323,290,306.5,10.4,37.5,320.1,"GPDB2443, Pruner (1992)"
southern_terranes,363,323,343,13,-1,354.1,"GPDB3045, Pechersky and Didenko (1995)"
southern_terranes,391,363,377,3.4,39.9,244.3,"GPDB3045, Pechersky and Didenko (1995)"
southern_terranes,391,363,377,4.6,51.7,282.7,"GPDB3045, Pechersky and Didenko (1995)"
southern_terranes,391,363,377,3.5,38,244,"GPDB2594, Grishin et al. (1991)"
southern_terranes,391,363,377,5.1,52,280,"GPDB2594, Grishin et al. (1991)"
southern_terranes,363,245,304,11.9,50,354,"GPDB2594, Grishin et al. (1991)"
southern_terranes,340,299,319.5,13,5,341,Edel et al. (2014)
Zavkhan_Baidrag,440,200,320,5.6,40.8,269.4,This study
southern_terranes,360,320,340,4.9,10,330,Kovalenko (2010)
Lake_Zone,423,397,410,5.8,-13.3,63.7,Bachtadse et al. (2000)
Lake_Zone,428,397,412.5,6.1,26.3,144,Bachtadse et al. (2000)
Lake_Zone,428,416,422,3.6,-17.5,100.1,Bachtadse et al. (2000)
Zavkhan_Baidrag,450,410,430,12.3,7,106.7,Kravchinsky (2010)
Zavkhan_Baidrag,449,443,446,5.2,36.5,196,This study
Zavkhan_Baidrag,542,360,451,4.6,3.5,114.9,Evans et al. (1996)
Zavkhan_Baidrag,545,518,531.5,13.5,21.4,347.1,Kravchinsky (2001)
Zavkhan_Baidrag,545,518,531.5,10.1,14.7,228.6,"GPDB3045, Pechersky and Didenko (1995)"
Zavkhan_Baidrag,545,518,531.5,4.4,24.1,283.3,"GPDB3045, Pechersky and Didenko (1995)"
Zavkhan_Baidrag,650,518,584,4.7,17.6,309.7,"GPDB3045, Pechersky and Didenko (1995)"
Zavkhan_Baidrag,650,518,584,5.4,22.6,285.6,"GPDB3045, Pechersky and Didenko (1995)"
